edge1_x, edge1_y, edge2_x, edge2_y
0.121919,0.390986,0.0995463,0.394038
0.0995463,0.394038,2.81388e-09,0.424356
2.81388e-09,0.424356,0,0.666672
0,0.666672,0.216223,0.593759
0.216223,0.593759,0.223347,0.511357
0.223347,0.511357,0.121919,0.390986
0.248374,0.494007,0.223347,0.511357
0.223347,0.511357,0.216223,0.593759
0.216223,0.593759,0.317376,0.674515
0.317376,0.674515,0.423687,0.597085
0.423687,0.597085,0.475817,0.513365
0.475817,0.513365,0.248374,0.494007
0.672562,0.770289,0.601125,0.789423
0.601125,0.789423,0.59268,0.795874
0.59268,0.795874,0.537473,1
0.537473,1,0.780675,1
0.780675,1,0.792775,0.952263
0.792775,0.952263,0.672562,0.770289
0.601125,0.789423,0.672562,0.77029
0.672562,0.77029,0.818735,0.685239
0.818735,0.685239,0.819344,0.651362
0.819344,0.651362,0.814504,0.644604
0.814504,0.644604,0.736273,0.592194
0.736273,0.592194,0.567621,0.513732
0.567621,0.513732,0.601125,0.789423
0.201394,0.284959,0.319863,0.236296
0.319863,0.236296,0.32093,0.234217
0.32093,0.234217,0.215941,0.0296842
0.215941,0.0296842,0.00594565,0.148258
0.00594565,0.148258,0.0171308,0.158541
0.0171308,0.158541,0.201394,0.284959
0.736273,0.592194,0.814504,0.644604
0.814504,0.644604,0.796648,0.457453
0.796648,0.457453,0.785579,0.449397
0.785579,0.449397,0.720557,0.463611
0.720557,0.463611,0.736273,0.592194
0.439217,1.05578e-10,0.220482,0
0.220482,0,0.215941,0.0296842
0.215941,0.0296842,0.32093,0.234217
0.32093,0.234217,0.390408,0.209437
0.390408,0.209437,0.43576,0.12165
0.43576,0.12165,0.439217,1.05578e-10
0.796648,0.457454,0.814504,0.644604
0.814504,0.644604,0.819344,0.651362
0.819344,0.651362,1,0.497964
1,0.497964,1,0.361084
1,0.361084,0.976725,0.358633
0.976725,0.358633,0.796648,0.457454
0.792775,0.952263,0.805314,0.936147
0.805314,0.936147,0.878345,0.743587
0.878345,0.743587,0.818735,0.685239
0.818735,0.685239,0.672562,0.770289
0.672562,0.770289,0.792775,0.952263
0.592507,0.795787,0.59268,0.795874
0.59268,0.795874,0.601125,0.789423
0.601125,0.789423,0.567621,0.513732
0.567621,0.513732,0.544033,0.485051
0.544033,0.485051,0.495383,0.493164
0.495383,0.493164,0.475817,0.513365
0.475817,0.513365,0.423687,0.597085
0.423687,0.597085,0.592507,0.795787
0.337727,1,0.537473,1
0.537473,1,0.59268,0.795874
0.59268,0.795874,0.592507,0.795787
0.592507,0.795787,0.434062,0.761761
0.434062,0.761761,0.337727,1
0.720557,0.463611,0.583046,0.425952
0.583046,0.425952,0.544033,0.485051
0.544033,0.485051,0.567621,0.513732
0.567621,0.513732,0.736273,0.592194
0.736273,0.592194,0.720557,0.463611
0.785579,0.449397,0.796648,0.457453
0.796648,0.457453,0.976725,0.358633
0.976725,0.358633,0.692468,0.2374
0.692468,0.2374,0.691723,0.238243
0.691723,0.238243,0.785579,0.449397
1,0.119617,1,0
1,0,0.683498,0
0.683498,0,0.684321,0.0560536
0.684321,0.0560536,0.708834,0.160177
0.708834,0.160177,1,0.119617
0.0995462,0.394038,0.121919,0.390986
0.121919,0.390986,0.201394,0.284959
0.201394,0.284959,0.0171307,0.158541
0.0171307,0.158541,0.0995462,0.394038
0.475817,0.513365,0.495383,0.493164
0.495383,0.493164,0.352384,0.353397
0.352384,0.353397,0.248374,0.494007
0.248374,0.494007,0.475817,0.513365
0.819344,0.651362,0.818735,0.685239
0.818735,0.685239,0.878345,0.743587
0.878345,0.743587,1,0.799765
1,0.799765,1,0.497964
1,0.497964,0.819344,0.651362
0.684321,0.0560535,0.683498,-1.10268e-09
0.683498,-1.10268e-09,0.439217,0
0.439217,0,0.43576,0.121649
0.43576,0.121649,0.684321,0.0560535
1,0.899995,1,0.799765
1,0.799765,0.878345,0.743587
0.878345,0.743587,0.805314,0.936147
0.805314,0.936147,1,0.899995
0.805314,0.936147,0.792775,0.952263
0.792775,0.952263,0.780675,1
0.780675,1,1,1
1,1,1,0.899995
1,0.899995,0.805314,0.936147
0.43576,0.121649,0.390408,0.209437
0.390408,0.209437,0.637525,0.275874
0.637525,0.275874,0.691723,0.238243
0.691723,0.238243,0.692468,0.2374
0.692468,0.2374,0.708834,0.160177
0.708834,0.160177,0.684321,0.0560535
0.684321,0.0560535,0.43576,0.121649
0.352384,0.353397,0.319863,0.236296
0.319863,0.236296,0.201394,0.284959
0.201394,0.284959,0.121919,0.390986
0.121919,0.390986,0.223347,0.511357
0.223347,0.511357,0.248374,0.494007
0.248374,0.494007,0.352384,0.353397
0.785579,0.449397,0.691723,0.238243
0.691723,0.238243,0.637525,0.275874
0.637525,0.275874,0.583046,0.425952
0.583046,0.425952,0.720557,0.463611
0.720557,0.463611,0.785579,0.449397
0.215941,0.0296842,0.220482,4.26018e-10
0.220482,4.26018e-10,0,0
0,0,0,0.147917
0,0.147917,0.00594564,0.148258
0.00594564,0.148258,0.215941,0.0296842
0.434062,0.761761,0.318386,0.688463
0.318386,0.688463,0.189197,1
0.189197,1,0.337727,1
0.337727,1,0.434062,0.761761
0.423687,0.597085,0.317376,0.674515
0.317376,0.674515,0.318386,0.688463
0.318386,0.688463,0.434062,0.761761
0.434062,0.761761,0.592507,0.795787
0.592507,0.795787,0.423687,0.597085
0.708834,0.160177,0.692468,0.2374
0.692468,0.2374,0.976725,0.358633
0.976725,0.358633,1,0.361084
1,0.361084,1,0.119617
1,0.119617,0.708834,0.160177
0.0171307,0.158541,0.00594565,0.148258
0.00594565,0.148258,7.38362e-10,0.147917
7.38362e-10,0.147917,0,0.424356
0,0.424356,0.0995462,0.394038
0.0995462,0.394038,0.0171307,0.158541
0.495383,0.493164,0.544033,0.485051
0.544033,0.485051,0.583046,0.425952
0.583046,0.425952,0.637525,0.275874
0.637525,0.275874,0.390408,0.209437
0.390408,0.209437,0.32093,0.234217
0.32093,0.234217,0.319863,0.236296
0.319863,0.236296,0.352384,0.353397
0.352384,0.353397,0.495383,0.493164
1.27898e-10,0.666672,0,1
0,1,0.189197,1
0.189197,1,0.318386,0.688463
0.318386,0.688463,0.317376,0.674515
0.317376,0.674515,0.216223,0.593759
0.216223,0.593759,1.27898e-10,0.666672
