edge1_x, edge1_y, edge2_x, edge2_y
0.678815,0.255722,0.687612,0.164558
0.687612,0.164558,0.677152,0.162204
0.677152,0.162204,0.57037,0.234498
0.57037,0.234498,0.678815,0.255722
0.625503,1,0.79332,1
0.79332,1,0.836814,0.846563
0.836814,0.846563,0.716595,0.821321
0.716595,0.821321,0.625503,1
0.826141,0.572686,0.946033,0.793137
0.946033,0.793137,1,0.804276
1,0.804276,1,0.442043
1,0.442043,0.826141,0.572686
0.678815,0.255722,0.716328,0.333119
0.716328,0.333119,0.855952,0.175324
0.855952,0.175324,0.872835,0.107076
0.872835,0.107076,0.687612,0.164558
0.687612,0.164558,0.678815,0.255722
0.677152,0.162204,0.687612,0.164558
0.687612,0.164558,0.872835,0.107076
0.872835,0.107076,0.949229,2.09219e-09
0.949229,2.09219e-09,0.640252,0
0.640252,0,0.595037,0.090237
0.595037,0.090237,0.677152,0.162204
0.57037,0.234498,0.463165,0.264219
0.463165,0.264219,0.459861,0.28395
0.459861,0.28395,0.660083,0.386484
0.660083,0.386484,0.703503,0.382202
0.703503,0.382202,0.716328,0.333119
0.716328,0.333119,0.678815,0.255722
0.678815,0.255722,0.57037,0.234498
0.115912,0.424943,0.195438,0.336145
0.195438,0.336145,0.137796,0.217562
0.137796,0.217562,0.119023,0.209375
0.119023,0.209375,-1.72454e-09,0.209873
-1.72454e-09,0.209873,0,0.394679
0,0.394679,0.115912,0.424943
0.730456,0.405277,0.798448,0.563763
0.798448,0.563763,0.826141,0.572686
0.826141,0.572686,1,0.442043
1,0.442043,1,0.430236
1,0.430236,0.894124,0.349644
0.894124,0.349644,0.730456,0.405277
0.504433,0.83314,0.578058,0.857307
0.578058,0.857307,0.690291,0.802397
0.690291,0.802397,0.618412,0.650553
0.618412,0.650553,0.581556,0.640194
0.581556,0.640194,0.504433,0.83314
0.593464,1,0.625503,1
0.625503,1,0.716595,0.821321
0.716595,0.821321,0.690291,0.802397
0.690291,0.802397,0.578058,0.857307
0.578058,0.857307,0.593464,1
0.0735452,0.666832,0.216118,0.69635
0.216118,0.69635,0.23632,0.686751
0.23632,0.686751,0.395228,0.551298
0.395228,0.551298,0.367343,0.391844
0.367343,0.391844,0.195438,0.336145
0.195438,0.336145,0.115912,0.424943
0.115912,0.424943,0.0735452,0.666832
0.23632,0.686751,0.216118,0.69635
0.216118,0.69635,0.240286,0.818328
0.240286,0.818328,0.313384,0.911664
0.313384,0.911664,0.443263,0.893034
0.443263,0.893034,0.460925,0.851714
0.460925,0.851714,0.43675,0.81554
0.43675,0.81554,0.23632,0.686751
0.660083,0.386484,0.459861,0.28395
0.459861,0.28395,0.367343,0.391844
0.367343,0.391844,0.395228,0.551298
0.395228,0.551298,0.482911,0.588021
0.482911,0.588021,0.520825,0.596822
0.520825,0.596822,0.660083,0.386484
0.677152,0.162204,0.595037,0.090237
0.595037,0.090237,0.446797,0.154305
0.446797,0.154305,0.463165,0.264219
0.463165,0.264219,0.57037,0.234498
0.57037,0.234498,0.677152,0.162204
0.087993,1.50677e-09,0,0
0,0,0,0.209873
0,0.209873,0.119023,0.209375
0.119023,0.209375,0.087993,1.50677e-09
0.482911,0.588021,0.395228,0.551298
0.395228,0.551298,0.23632,0.686751
0.23632,0.686751,0.43675,0.81554
0.43675,0.81554,0.482911,0.588021
0.690291,0.802397,0.716595,0.821321
0.716595,0.821321,0.836814,0.846563
0.836814,0.846563,0.946033,0.793137
0.946033,0.793137,0.826141,0.572686
0.826141,0.572686,0.798448,0.563763
0.798448,0.563763,0.618412,0.650553
0.618412,0.650553,0.690291,0.802397
7.84836e-10,0.394679,0,0.688085
0,0.688085,0.0735452,0.666832
0.0735452,0.666832,0.115912,0.424943
0.115912,0.424943,7.84836e-10,0.394679
0.578058,0.857307,0.504433,0.83314
0.504433,0.83314,0.460925,0.851714
0.460925,0.851714,0.443263,0.893033
0.443263,0.893033,0.491501,1
0.491501,1,0.593464,1
0.593464,1,0.578058,0.857307
0.79332,1,1,1
1,1,1,0.804276
1,0.804276,0.946033,0.793137
0.946033,0.793137,0.836814,0.846563
0.836814,0.846563,0.79332,1
0.119023,0.209375,0.137796,0.217562
0.137796,0.217562,0.351932,0.0287868
0.351932,0.0287868,0.349556,8.02956e-10
0.349556,8.02956e-10,0.087993,0
0.087993,0,0.119023,0.209375
0.640252,1.80567e-09,0.349556,0
0.349556,0,0.351932,0.0287868
0.351932,0.0287868,0.446797,0.154305
0.446797,0.154305,0.595037,0.090237
0.595037,0.090237,0.640252,1.80567e-09
0.894124,0.349644,1,0.430236
1,0.430236,1,0
1,0,0.949229,0
0.949229,0,0.872835,0.107076
0.872835,0.107076,0.855952,0.175324
0.855952,0.175324,0.894124,0.349644
0.137796,0.217562,0.195438,0.336145
0.195438,0.336145,0.367343,0.391844
0.367343,0.391844,0.459861,0.28395
0.459861,0.28395,0.463165,0.264219
0.463165,0.264219,0.446797,0.154305
0.446797,0.154305,0.351932,0.0287868
0.351932,0.0287868,0.137796,0.217562
0.313384,0.911664,0.297745,1
0.297745,1,0.491501,1
0.491501,1,0.443263,0.893034
0.443263,0.893034,0.313384,0.911664
0.240286,0.818328,0.216118,0.69635
0.216118,0.69635,0.0735453,0.666832
0.0735453,0.666832,7.71592e-11,0.688085
7.71592e-11,0.688085,0,1
0,1,0.112825,1
0.112825,1,0.240286,0.818328
0.894124,0.349644,0.855952,0.175324
0.855952,0.175324,0.716328,0.333119
0.716328,0.333119,0.703503,0.382202
0.703503,0.382202,0.730456,0.405277
0.730456,0.405277,0.894124,0.349644
0.43675,0.81554,0.460925,0.851714
0.460925,0.851714,0.504433,0.83314
0.504433,0.83314,0.581556,0.640194
0.581556,0.640194,0.520825,0.596822
0.520825,0.596822,0.482911,0.588021
0.482911,0.588021,0.43675,0.81554
0.520825,0.596822,0.581556,0.640194
0.581556,0.640194,0.618412,0.650553
