edge1_x, edge1_y, edge2_x, edge2_y
0.59227,0.229495,0.558769,0.191942
0.558769,0.191942,0.3635,0.222115
0.3635,0.222115,0.316989,0.299239
0.316989,0.299239,0.316894,0.399486
0.316894,0.399486,0.376001,0.445073
0.376001,0.445073,0.432582,0.470038
0.432582,0.470038,0.540988,0.386474
0.540988,0.386474,0.574058,0.346565
0.574058,0.346565,0.59227,0.229495
0.615545,0.858577,0.740454,0.801218
0.740454,0.801218,0.646029,0.6388
0.646029,0.6388,0.623841,0.638632
0.623841,0.638632,0.557865,0.740222
0.557865,0.740222,0.615545,0.858577
0.891664,0.83264,1,0.846156
1,0.846156,1,0.525324
1,0.525324,0.868447,0.567114
0.868447,0.567114,0.891664,0.83264
0.662887,0.385742,0.738686,0.456819
0.738686,0.456819,0.793564,0.361026
0.793564,0.361026,0.785133,0.271335
0.785133,0.271335,0.742954,0.238781
0.742954,0.238781,0.723567,0.240142
0.723567,0.240142,0.662887,0.385742
0.570277,0.118154,0.6604,-7.77553e-10
0.6604,-7.77553e-10,0.411494,0
0.411494,0,0.570277,0.118154
0.723567,0.240142,0.59227,0.229495
0.59227,0.229495,0.574058,0.346565
0.574058,0.346565,0.662887,0.385742
0.662887,0.385742,0.723567,0.240142
0.16798,0.21914,0.105558,0.138116
0.105558,0.138116,-1.08362e-10,0.155228
-1.08362e-10,0.155228,0,0.423805
0,0.423805,0.16798,0.21914
0.793564,0.361026,0.738686,0.456819
0.738686,0.456819,0.734045,0.521494
0.734045,0.521494,0.736263,0.553033
0.736263,0.553033,0.868447,0.567114
0.868447,0.567114,1,0.525324
1,0.525324,1,0.423693
1,0.423693,0.793564,0.361026
0.770808,0.921533,0.795946,0.853619
0.795946,0.853619,0.740454,0.801218
0.740454,0.801218,0.615544,0.858577
0.615544,0.858577,0.512516,0.917068
0.512516,0.917068,0.51465,0.933216
0.51465,0.933216,0.770808,0.921533
0.557865,0.740223,0.479877,0.851032
0.479877,0.851032,0.512516,0.917068
0.512516,0.917068,0.615545,0.858577
0.615545,0.858577,0.557865,0.740223
0.376001,0.445073,0.316894,0.399486
0.316894,0.399486,-4.53479e-09,0.543606
-4.53479e-09,0.543606,0,0.68367
0,0.68367,0.259124,0.739069
0.259124,0.739069,0.376001,0.445073
0.339163,0.794422,0.479877,0.851032
0.479877,0.851032,0.557864,0.740223
0.557864,0.740223,0.623841,0.638632
0.623841,0.638632,0.535561,0.59488
0.535561,0.59488,0.339163,0.794422
0.734045,0.521494,0.738686,0.456819
0.738686,0.456819,0.662887,0.385742
0.662887,0.385742,0.574058,0.346565
0.574058,0.346565,0.540988,0.386474
0.540988,0.386474,0.734045,0.521494
0.788163,3.84228e-09,0.6604,0
0.6604,0,0.570277,0.118154
0.570277,0.118154,0.558769,0.191942
0.558769,0.191942,0.59227,0.229495
0.59227,0.229495,0.723567,0.240142
0.723567,0.240142,0.742954,0.238781
0.742954,0.238781,0.788163,3.84228e-09
0.154428,0.0657021,0.170646,1.33052e-09
0.170646,1.33052e-09,0,0
0,0,0,0.155228
0,0.155228,0.105558,0.138116
0.105558,0.138116,0.154428,0.0657021
0.274879,0.747678,0.327709,0.794014
0.327709,0.794014,0.339163,0.794422
0.339163,0.794422,0.535561,0.59488
0.535561,0.59488,0.477257,0.537895
0.477257,0.537895,0.274879,0.747678
0.868447,0.567114,0.736263,0.553033
0.736263,0.553033,0.646029,0.6388
0.646029,0.6388,0.740454,0.801217
0.740454,0.801217,0.795946,0.853619
0.795946,0.853619,0.891664,0.83264
0.891664,0.83264,0.868447,0.567114
5.19307e-10,0.423805,0,0.543606
0,0.543606,0.316894,0.399486
0.316894,0.399486,0.316989,0.299239
0.316989,0.299239,0.16798,0.21914
0.16798,0.21914,5.19307e-10,0.423805
0.51465,0.933216,0.505171,1
0.505171,1,0.762292,1
0.762292,1,0.770808,0.921533
0.770808,0.921533,0.51465,0.933216
0.762292,1,1,1
1,1,1,0.846156
1,0.846156,0.891664,0.83264
0.891664,0.83264,0.795946,0.853619
0.795946,0.853619,0.770808,0.921533
0.770808,0.921533,0.762292,1
0.353482,0.1743,0.371393,-1.6471e-09
0.371393,-1.6471e-09,0.170646,0
0.170646,0,0.154428,0.0657021
0.154428,0.0657021,0.353482,0.1743
0.411494,-9.16323e-10,0.371393,0
0.371393,0,0.353482,0.1743
0.353482,0.1743,0.3635,0.222115
0.3635,0.222115,0.558769,0.191942
0.558769,0.191942,0.570277,0.118154
0.570277,0.118154,0.411494,-9.16323e-10
1,0.423693,1,0.206781
1,0.206781,0.785133,0.271335
0.785133,0.271335,0.793564,0.361026
0.793564,0.361026,1,0.423693
0.154428,0.0657021,0.105558,0.138116
0.105558,0.138116,0.16798,0.21914
0.16798,0.21914,0.316989,0.299239
0.316989,0.299239,0.3635,0.222115
0.3635,0.222115,0.353482,0.1743
0.353482,0.1743,0.154428,0.0657021
0.322592,1,0.505171,1
0.505171,1,0.51465,0.933216
0.51465,0.933216,0.512516,0.917068
0.512516,0.917068,0.479877,0.851032
0.479877,0.851032,0.339163,0.794422
0.339163,0.794422,0.327709,0.794014
0.327709,0.794014,0.292223,0.931652
0.292223,0.931652,0.322592,1
1.11096e-09,0.963918,0,1
0,1,0.322592,1
0.322592,1,0.292223,0.931652
0.292223,0.931652,1.11096e-09,0.963918
0.742954,0.238781,0.785133,0.271335
0.785133,0.271335,1,0.206781
1,0.206781,1,0
1,0,0.788163,0
0.788163,0,0.742954,0.238781
0.477257,0.537895,0.432582,0.470038
0.432582,0.470038,0.376001,0.445073
0.376001,0.445073,0.259124,0.739069
0.259124,0.739069,0.274879,0.747678
0.274879,0.747678,0.477257,0.537895
0.540988,0.386474,0.432582,0.470038
0.432582,0.470038,0.477257,0.537895
0.477257,0.537895,0.535561,0.594881
0.535561,0.594881,0.623841,0.638632
0.623841,0.638632,0.646029,0.6388
0.646029,0.6388,0.736263,0.553033
0.736263,0.553033,0.734045,0.521494
0.734045,0.521494,0.540988,0.386474
0.292223,0.931652,0.327709,0.794014
0.327709,0.794014,0.274879,0.747678
0.274879,0.747678,0.259124,0.739069
0.259124,0.739069,-4.31239e-09,0.68367
-4.31239e-09,0.68367,0,0.963918
0,0.963918,0.292223,0.931652
