edge1_x, edge1_y, edge2_x, edge2_y
0.129813,0.387962,1.17439e-10,0.431334
1.17439e-10,0.431334,0,0.659292
0,0.659292,0.220015,0.597552
0.220015,0.597552,0.233063,0.508543
0.233063,0.508543,0.232313,0.50308
0.232313,0.50308,0.129813,0.387962
0.233064,0.508543,0.220015,0.597553
0.220015,0.597553,0.31495,0.677925
0.31495,0.677925,0.427,0.605062
0.427,0.605062,0.488142,0.507023
0.488142,0.507023,0.233064,0.508543
0.681737,0.762127,0.616031,0.780651
0.616031,0.780651,0.58966,0.802065
0.58966,0.802065,0.537675,1
0.537675,1,0.778973,1
0.778973,1,0.790716,0.961513
0.790716,0.961513,0.681737,0.762127
0.616031,0.780651,0.681737,0.762127
0.681737,0.762127,0.815547,0.691528
0.815547,0.691528,0.817505,0.646913
0.817505,0.646913,0.808756,0.634256
0.808756,0.634256,0.764294,0.604802
0.764294,0.604802,0.556015,0.51015
0.556015,0.51015,0.616031,0.780651
0.198152,0.282993,0.321168,0.23408
0.321168,0.23408,0.215524,0.025656
0.215524,0.025656,0.0219383,0.141917
0.0219383,0.141917,0.198152,0.282993
0.764294,0.604802,0.808756,0.634256
0.808756,0.634256,0.796585,0.458377
0.796585,0.458377,0.786812,0.451195
0.786812,0.451195,0.706629,0.460825
0.706629,0.460825,0.764294,0.604802
0.423859,-1.34611e-09,0.220414,0
0.220414,0,0.215524,0.025656
0.215524,0.025656,0.321168,0.23408
0.321168,0.23408,0.331448,0.237676
0.331448,0.237676,0.386298,0.215766
0.386298,0.215766,0.433748,0.114839
0.433748,0.114839,0.423859,-1.34611e-09
0.796585,0.458376,0.808756,0.634256
0.808756,0.634256,0.817505,0.646914
0.817505,0.646914,1,0.499068
1,0.499068,1,0.354707
1,0.354707,0.969718,0.35175
0.969718,0.35175,0.796585,0.458376
0.790716,0.961513,0.79725,0.952228
0.79725,0.952228,0.872046,0.745462
0.872046,0.745462,0.815547,0.691528
0.815547,0.691528,0.681737,0.762127
0.681737,0.762127,0.790716,0.961513
0.579568,0.796243,0.58966,0.802065
