vertex_x,vertex_y
0.859168,0.0888777
1,0.135332
1,0
0.793928,0
0.866332,0.739459
0.964639,0.832725
1,0.842581
1,0.507103
0.961819,0.521187
0.800796,0.299782
0.796752,0.255193
0.754543,0.220254
0.654179,0.194494
0.574029,0.253227
0.657932,0.504401
0.859168,0.0888776
0.793928,-1.32151e-09
0.674691,0
0.654179,0.194494
0.754543,0.220254
1,0.427197
1,0.218338
0.796752,0.255193
0.800796,0.299782
0.808916,0.30948
0.674691,2.40387e-09
0.356773,0
0.34464,0.0623087
0.552829,0.2499
0.574029,0.253227
0.654179,0.194494
0.348935,0.525723
0.262709,0.556642
0.249683,0.611861
0.411818,0.727522
0.527804,0.615685
0.85058,0.509699
0.961819,0.521187
1,0.507103
1,0.427197
0.808916,0.30948
0.527804,0.615685
0.594803,0.5758
0.413149,0.426583
0.348935,0.525723
0.659647,0.799833
0.585354,0.89298
0.626962,1
0.787703,1
0.802669,0.940009
0.766716,0.838483
0.194601,0.314904
0.2102,0.191611
9.67145e-10,0.0605847
0,0.292486
0.161748,0.800895
0.0799739,0.696423
3.04427e-09,0.680114
0,1
0.179192,1
0.413149,0.426583
0.391946,0.373005
0.196182,0.320521
0.192003,0.335077
0.262709,0.556642
0.348935,0.525723
0.552829,0.2499
0.34464,0.0623086
0.2102,0.191611
0.194601,0.314904
0.196182,0.320521
0.391946,0.373005
3.81543e-11,0.292486
0,0.524437
0.192003,0.335077
0.196182,0.320521
0.194601,0.314904
0.37858,1
0.626962,1
0.585354,0.89298
0.541102,0.878536
0.541102,0.878536
0.585354,0.89298
0.659647,0.799833
0.653469,0.636258
0.621731,0.571357
0.594803,0.5758
0.527804,0.615685
0.411818,0.727522
0.411095,0.734999
0.44093,0.780154
0.377881,1
0.37858,1
0.541102,0.878536
0.440931,0.780154
0.330927,0.8052
0.411095,0.734999
0.411818,0.727522
0.249683,0.611861
0.0799738,0.696423
0.161748,0.800895
0.802669,0.940009
0.787703,1
1,1
1,0.842581
0.96464,0.832725
0.2102,0.191611
0.34464,0.0623086
0.356773,4.61068e-10
0,0
0,0.0605847
0.808916,0.30948
0.800796,0.299782
0.657932,0.504401
0.659223,0.521647
0.85058,0.509699
0.754543,0.220254
0.796752,0.255193
1,0.218338
1,0.135332
0.859168,0.0888777
0.594803,0.5758
0.621731,0.571357
0.659223,0.521647
0.657932,0.504401
0.574029,0.253227
0.552829,0.2499
0.391946,0.373005
0.413149,0.426583
0.440931,0.780154
0.411095,0.734999
0.330928,0.8052
0.302338,1
0.377881,1
0.192003,0.335077
1.50752e-10,0.524437
0,0.680114
0.0799738,0.696423
0.249683,0.611861
0.262709,0.556642
0.861622,0.740071
0.653469,0.636258
0.659647,0.799833
0.766716,0.838483
0.96464,0.832725
0.866332,0.739459
0.861622,0.740071
0.766716,0.838483
0.802669,0.940009
0.861622,0.740071
0.866332,0.739459
0.961819,0.521187
0.85058,0.509699
0.659223,0.521647
0.621731,0.571357
0.653469,0.636258
0.161748,0.800895
0.179192,1
0.302338,1
0.330928,0.8052
