vertex_x,vertex_y
1.5598e-09,0.574229
0,0.600575
0.230871,0.613433
0.304202,0.429303
0.213533,0.367992
0.255688,0.63038
0.2926,0.679926
0.445261,0.688103
0.522053,0.567158
0.510837,0.510932
0.487026,0.500607
0.784075,0.895402
0.88277,0.843298
0.91934,0.80436
0.783892,0.677064
0.693659,0.712706
0.613965,0.830876
0.59693,0.625729
0.693659,0.712706
0.783892,0.677064
0.803081,0.614173
0.777173,0.558301
0.693237,0.509609
0.236842,-1.89299e-09
0.225219,0
0.136782,0.131232
0.195987,0.246213
0.300695,0.217913
0.72472,0.41047
0.640117,0.338826
0.599454,0.442686
0.693237,0.509609
0.777173,0.558301
0.788056,0.471699
0.300695,0.217913
0.370109,0.218793
0.380714,0.103485
0.307702,6.98096e-10
0.236842,0
0.788056,0.471699
0.777173,0.558301
0.803081,0.614173
1,0.511709
1,0.302137
0.914183,0.298006
0.846869,0.387655
0.784075,0.895402
0.613965,0.830876
0.568143,0.871072
0.537511,1
0.766787,1
0.525911,0.827714
0.568143,0.871072
0.613964,0.830876
0.693659,0.712706
0.59693,0.625729
0.522053,0.567158
0.445261,0.688103
0.461431,0.720243
0.461431,0.720243
0.445261,0.688103
0.2926,0.679926
0.289608,0.800197
0.357908,0.801921
0.693237,0.509609
0.599454,0.442686
0.510837,0.510932
0.522053,0.567158
0.59693,0.625729
0.846869,0.387655
0.914183,0.298006
0.742517,0.230683
0.655584,0.216159
0.640117,0.338826
0.72472,0.41047
0.926496,-6.09722e-10
0.62605,0
0.653766,0.214175
0.655584,0.216159
0.742517,0.230683
0.186468,0.265608
0.195987,0.246213
0.136782,0.131232
6.07898e-10,0.108815
0,0.323592
0.487026,0.500607
0.388759,0.404562
0.304202,0.429303
0.230871,0.613433
0.255687,0.63038
0.803081,0.614173
0.783892,0.677064
0.91934,0.80436
1,0.822197
1,0.511709
0.598128,7.41927e-10
0.307702,0
0.380714,0.103485
0.88277,0.843298
0.784075,0.895402
0.766787,1
0.833598,1
0.833598,1
1,1
1,0.822197
0.91934,0.80436
0.88277,0.843298
0.380714,0.103485
0.370109,0.218793
0.41808,0.257394
0.653766,0.214175
0.62605,1.25629e-10
0.598128,0
0.304202,0.429303
0.388759,0.404562
0.41808,0.257394
0.370109,0.218793
0.300695,0.217913
0.195987,0.246213
0.186468,0.265608
0.213533,0.367992
0.72472,0.41047
0.788056,0.471699
0.846869,0.387655
0.225219,-2.26653e-09
0,0
0,0.108815
0.136782,0.131232
0.357908,0.801921
0.289608,0.800197
0.213687,1
0.537511,1
0.568143,0.871072
0.52591,0.827714
0.357908,0.801921
0.52591,0.827714
0.461431,0.720243
0.742517,0.230683
0.914183,0.298006
1,0.302137
1,0
0.926496,0
0.213533,0.367992
0.186468,0.265608
-6.44121e-10,0.323592
0,0.574229
0.388759,0.404562
0.487026,0.500607
0.510837,0.510932
0.599454,0.442686
0.640117,0.338826
0.655584,0.216159
0.653766,0.214175
0.41808,0.257394
0.2926,0.679926
0.255688,0.63038
0.230871,0.613433
9.15583e-10,0.600575
0,1
0.213687,1
0.289608,0.800197
