edge1_x, edge1_y, edge2_x, edge2_y
0.699177,0.223841,0.733352,0.30496
0.733352,0.30496,0.765971,0.299871
0.765971,0.299871,0.834258,0.274801
0.834258,0.274801,0.761661,0.132341
0.761661,0.132341,0.699177,0.223841
0.864346,0.805826,0.731366,0.852102
0.731366,0.852102,0.713912,1
0.713912,1,0.841509,1
0.841509,1,0.864346,0.805826
0.855604,0.480563,0.807103,0.54027
0.807103,0.54027,0.813672,0.627752
0.813672,0.627752,0.935416,0.752111
0.935416,0.752111,1,0.754283
1,0.754283,1,0.405309
1,0.405309,0.994038,0.403461
0.994038,0.403461,0.855604,0.480563
0.761661,0.132341,0.769865,-1.59573e-09
0.769865,-1.59573e-09,0.701995,0
0.701995,0,0.663884,0.170041
0.663884,0.170041,0.699177,0.223841
0.699177,0.223841,0.761661,0.132341
0.834258,0.274801,0.856933,0.269364
0.856933,0.269364,0.999863,1.28457e-09
0.999863,1.28457e-09,0.769866,0
0.769866,0,0.761661,0.132341
0.761661,0.132341,0.834258,0.274801
0.526182,0.318067,0.647539,0.382754
0.647539,0.382754,0.733352,0.30496
0.733352,0.30496,0.699177,0.223841
0.699177,0.223841,0.663884,0.170041
0.663884,0.170041,0.601735,0.171349
0.601735,0.171349,0.526182,0.318067
0.210828,0.291668,0.17768,0.237918
0.17768,0.237918,2.48793e-09,0.306714
2.48793e-09,0.306714,0,0.481178
0,0.481178,0.0989717,0.485851
0.0989717,0.485851,0.210828,0.291668
0.855604,0.480563,0.994038,0.403461
0.994038,0.403461,0.856933,0.269364
0.856933,0.269364,0.834258,0.274801
0.834258,0.274801,0.765971,0.299871
0.765971,0.299871,0.855604,0.480563
0.517508,0.801034,0.619848,0.771842
0.619848,0.771842,0.620679,0.636303
0.620679,0.636303,0.556092,0.578362
0.556092,0.578362,0.348675,0.604787
0.348675,0.604787,0.517508,0.801034
0.525727,0.972559,0.519526,0.985398
0.519526,0.985398,0.521701,1
0.521701,1,0.713912,1
0.713912,1,0.731366,0.852102
0.731366,0.852102,0.685627,0.839741
0.685627,0.839741,0.525727,0.972559
0.0989717,0.485851,0.3211,0.550938
0.3211,0.550938,0.328074,0.431312
0.328074,0.431312,0.210828,0.291668
0.210828,0.291668,0.0989717,0.485851
0.308681,0.980538,0.384507,0.89705
0.384507,0.89705,0.378719,0.871776
0.378719,0.871776,0.265884,0.704288
0.265884,0.704288,0.235799,0.720465
0.235799,0.720465,0.160689,0.875901
0.160689,0.875901,0.308681,0.980538
0.647705,0.387705,0.647539,0.382754
0.647539,0.382754,0.526182,0.318067
0.526182,0.318067,0.477983,0.30751
0.477983,0.30751,0.328074,0.431312
0.328074,0.431312,0.3211,0.550938
0.3211,0.550938,0.338732,0.603213
0.338732,0.603213,0.348675,0.604787
0.348675,0.604787,0.556092,0.578362
0.556092,0.578362,0.647705,0.387705
0.601735,0.171349,0.38478,-2.65715e-10
