vertex_x,vertex_y
1,0.0376669
1,0
0.66585,0
0.644913,0.11544
0.691025,0.149457
0.926612,0.6734
1,0.640061
1,0.532391
0.703242,0.568155
0.69952,0.575664
0.698159,0.158307
0.691025,0.149457
0.644913,0.11544
0.489054,0.208978
0.497064,0.29829
0.643494,0.376724
0.747461,0.280905
0.698159,0.158307
0.747461,0.280905
0.789366,0.289187
1,0.226702
1,0.194047
0.789366,0.289187
0.747461,0.280905
0.643494,0.376724
0.70528,0.53804
0.814031,0.425819
0.644913,0.11544
0.66585,-7.20519e-10
0.377736,0
0.373243,0.119617
0.489054,0.208978
0.651722,0.666507
0.663145,0.650617
0.666075,0.620871
0.451458,0.521596
0.366742,0.564633
0.315453,0.623066
0.327836,0.686284
0.355256,0.717804
0.404413,0.737032
0.814031,0.425819
1,0.385846
1,0.226702
0.789366,0.289187
0.366742,0.564633
0.451458,0.521596
0.464926,0.340601
0.297596,0.372912
0.295921,0.405312
0.842778,0.840048
0.852761,0.82072
0.84,0.793323
0.663145,0.650617
0.651722,0.666507
0.60848,0.863545
0.619887,0.87878
0.0822228,-2.77994e-09
0,0
0,0.293746
0.106715,0.302463
0.156114,0.27003
0.194955,0.191054
0.0198629,0.628377
1.66062e-10,0.628034
0,1
0.127049,1
0.134064,0.818304
0.160811,0.557732
0.315453,0.623066
0.366742,0.564633
0.295921,0.405312
0.464926,0.340601
0.497064,0.29829
0.489054,0.208978
0.373243,0.119617
0.194955,0.191054
0.156114,0.27003
0.297596,0.372912
0.106715,0.302463
7.62433e-10,0.293746
0,0.628034
0.0198628,0.628377
0.127267,0.552356
0.568119,0.872143
0.474623,0.874341
0.360796,1
0.515412,1
0.474623,0.874341
0.568119,0.872143
0.60848,0.863545
0.651722,0.666507
0.404413,0.737032
0.515412,1
0.679293,1
0.619887,0.87878
0.60848,0.863545
0.568119,0.872143
0.327836,0.686284
0.315453,0.623066
0.160811,0.557732
0.127267,0.552356
0.0198629,0.628377
0.134064,0.818304
0.799203,1
1,1
1,0.845668
0.852761,0.82072
0.842778,0.840048
0.194955,0.191054
0.373243,0.119617
0.377736,-9.95463e-10
0.0822228,0
0.814031,0.425819
0.70528,0.53804
0.703242,0.568155
1,0.532391
1,0.385846
0.691025,0.149457
0.698159,0.158307
1,0.194047
1,0.0376669
0.451458,0.521596
0.666074,0.620871
0.69952,0.575663
0.703242,0.568155
0.70528,0.53804
0.643494,0.376724
0.497064,0.29829
0.464926,0.340601
0.279983,1
0.360796,1
0.474623,0.874341
0.404413,0.737032
0.355256,0.717805
0.295921,0.405312
0.297596,0.372912
0.156113,0.27003
0.106715,0.302463
0.127267,0.552356
0.160811,0.557732
0.619887,0.87878
0.679293,1
0.799203,1
0.842778,0.840048
0.84,0.793323
0.852761,0.82072
1,0.845668
1,0.640061
0.926612,0.6734
0.69952,0.575664
0.666075,0.620871
0.663145,0.650617
0.84,0.793323
0.926612,0.6734
0.355256,0.717805
0.327836,0.686284
0.134064,0.818304
0.127049,1
0.279983,1
