edge1_x, edge1_y, edge2_x, edge2_y
0.462158,0.22197,0.497975,0.332767
0.497975,0.332767,0.6355,0.341622
0.6355,0.341622,0.676199,0.316196
0.676199,0.316196,0.705663,0.270472
0.705663,0.270472,0.723095,0.236851
0.723095,0.236851,0.631008,0.123011
0.631008,0.123011,0.462158,0.22197
0.762871,0.579723,0.841653,0.461702
0.841653,0.461702,0.676199,0.316196
0.676199,0.316196,0.6355,0.341622
0.6355,0.341622,0.645781,0.448662
0.645781,0.448662,0.762871,0.579723
0.631008,0.123011,0.604868,0.0330306
0.604868,0.0330306,0.433431,0.142312
0.433431,0.142312,0.42198,0.16704
0.42198,0.16704,0.462158,0.22197
0.462158,0.22197,0.631008,0.123011
0.705662,0.270472,0.676199,0.316196
0.676199,0.316196,0.841653,0.461702
0.841653,0.461702,0.963223,0.425965
0.963223,0.425965,0.705662,0.270472
0.645781,0.448662,0.6355,0.341622
0.6355,0.341622,0.497975,0.332767
0.497975,0.332767,0.396616,0.430399
0.396616,0.430399,0.366091,0.480041
0.366091,0.480041,0.369103,0.547992
0.369103,0.547992,0.415659,0.598931
0.415659,0.598931,0.486616,0.639141
0.486616,0.639141,0.509993,0.6336
0.509993,0.6336,0.645781,0.448662
0.604868,0.0330305,0.609674,2.8162e-09
0.609674,2.8162e-09,0.423768,0
0.423768,0,0.433431,0.142312
0.433431,0.142312,0.604868,0.0330305
0.693948,0.696037,0.689988,0.653433
0.689988,0.653433,0.509993,0.6336
0.509993,0.6336,0.486616,0.639141
0.486616,0.639141,0.494788,0.703807
0.494788,0.703807,0.505954,0.742478
0.505954,0.742478,0.639435,0.848539
0.639435,0.848539,0.673974,0.828331
0.673974,0.828331,0.693948,0.696037
0.963223,0.425965,1,0.41875
1,0.41875,1,0.0997506
1,0.0997506,0.723095,0.236851
0.723095,0.236851,0.705662,0.270472
0.705662,0.270472,0.963223,0.425965
0.313747,0.44969,0.366091,0.480041
0.366091,0.480041,0.396616,0.430399
0.396616,0.430399,0.247952,0.155228
0.247952,0.155228,0.225377,0.147313
0.225377,0.147313,0.190732,0.165922
0.190732,0.165922,0.313747,0.44969
0.838461,0.825162,0.850443,0.814931
0.850443,0.814931,0.857614,0.664479
0.857614,0.664479,0.761213,0.606858
0.761213,0.606858,0.689988,0.653433
0.689988,0.653433,0.693948,0.696037
0.693948,0.696037,0.838461,0.825162
0.253541,-1.29466e-09,0,0
0,0,0,0.230369
0,0.230369,0.190732,0.165922
0.190732,0.165922,0.225377,0.147313
0.225377,0.147313,0.253541,-1.29466e-09
3.17348e-10,0.782048,0,1
0,1,0.0969939,1
0.0969939,1,0.24119,0.605314
0.24119,0.605314,0.138047,0.579921
0.138047,0.579921,3.17348e-10,0.782048
5.59269e-09,0.342336,0,0.380966
0,0.380966,0.106808,0.549783
0.106808,0.549783,0.138047,0.579921
0.138047,0.579921,0.24119,0.605314
0.24119,0.605314,0.369103,0.547992
0.369103,0.547992,0.366091,0.480041
0.366091,0.480041,0.313747,0.44969
