edge1_x, edge1_y, edge2_x, edge2_y
0.993208,0.14911,1,0.148273
1,0.148273,1,0
1,0,0.869692,0
0.869692,0,0.850867,0.0979613
0.850867,0.0979613,0.993208,0.14911
1,0.900126,1,0.590067
1,0.590067,0.996771,0.592628
0.996771,0.592628,0.772973,0.796842
0.772973,0.796842,0.772539,0.799265
0.772539,0.799265,0.818515,0.860448
0.818515,0.860448,1,0.900126
0.795917,0.322339,0.611537,0.427198
0.611537,0.427198,0.606093,0.462774
0.606093,0.462774,0.616248,0.480833
0.616248,0.480833,0.866421,0.514596
0.866421,0.514596,0.795917,0.322339
0.869692,7.76759e-11,0.616218,0
0.616218,0,0.711264,0.14186
0.711264,0.14186,0.781638,0.151234
0.781638,0.151234,0.850867,0.0979612
0.850867,0.0979612,0.869692,7.76759e-11
0.905347,0.304914,1,0.403367
1,0.403367,1,0.148273
1,0.148273,0.993208,0.14911
0.993208,0.14911,0.905347,0.304914
0.586265,0.280551,0.711264,0.14186
0.711264,0.14186,0.616218,-1.46388e-10
0.616218,-1.46388e-10,0.36526,0
0.36526,0,0.586265,0.280551
0.279136,0.349079,0.256137,0.325812
0.256137,0.325812,0.113121,0.462015
0.113121,0.462015,0.220903,0.649916
0.220903,0.649916,0.326517,0.636819
0.326517,0.636819,0.367056,0.552402
0.367056,0.552402,0.279136,0.349079
0.866421,0.514596,1,0.561121
1,0.561121,1,0.403367
1,0.403367,0.905347,0.304914
0.905347,0.304914,0.833664,0.280097
0.833664,0.280097,0.795917,0.322339
0.795917,0.322339,0.866421,0.514596
0.367056,0.552402,0.326517,0.636819
0.326517,0.636819,0.379248,0.68086
0.379248,0.68086,0.474341,0.737977
0.474341,0.737977,0.613684,0.595038
0.613684,0.595038,0.616248,0.480833
0.616248,0.480833,0.606093,0.462774
0.606093,0.462774,0.575831,0.464668
0.575831,0.464668,0.367056,0.552402
0.729153,0.824805,0.589777,0.873728
0.589777,0.873728,0.565484,1
0.565484,1,0.705884,1
0.705884,1,0.729153,0.824805
0.0177299,0.4618,0.113121,0.462015
0.113121,0.462015,0.256137,0.325812
0.256137,0.325812,0.263936,0.272095
0.263936,0.272095,0.243691,0.144745
0.243691,0.144745,0.0608608,0.153997
0.0608608,0.153997,0.0177299,0.4618
0.127781,0.792689,2.2223e-09,0.827448
2.2223e-09,0.827448,0,1
0,1,0.235071,1
0.235071,1,0.127781,0.792689
0.279136,0.349079,0.367056,0.552402
0.367056,0.552402,0.575831,0.464668
0.575831,0.464668,0.279136,0.349079
0.582058,0.307035,0.586265,0.280551
0.586265,0.280551,0.36526,-4.63458e-09
0.36526,-4.63458e-09,0.325659,0
0.325659,0,0.243691,0.144745
0.243691,0.144745,0.263936,0.272095
0.263936,0.272095,0.582058,0.307035
0.0608608,0.153997,1.46576e-09,0.143389
1.46576e-09,0.143389,0,0.465
0,0.465,0.0177299,0.4618
0.0177299,0.4618,0.0608608,0.153997
0.442771,1,0.565484,1
0.565484,1,0.589777,0.873728
0.589777,0.873728,0.478624,0.771186
0.478624,0.771186,0.415262,0.839226
0.415262,0.839226,0.442771,1
0.650485,0.633131,0.613684,0.595038
0.613684,0.595038,0.474341,0.737977
0.474341,0.737977,0.478624,0.771186
0.478624,0.771186,0.589777,0.873728
0.589777,0.873728,0.729153,0.824805
0.729153,0.824805,0.772539,0.799265
0.772539,0.799265,0.772973,0.796842
0.772973,0.796842,0.650485,0.633131
0.379248,0.68086,0.326517,0.636819
0.326517,0.636819,0.220903,0.649916
0.220903,0.649916,0.138773,0.78612
0.138773,0.78612,0.287055,0.849461
0.287055,0.849461,0.379248,0.68086
0.287055,0.849461,0.317922,0.87161
0.317922,0.87161,0.415262,0.839226
0.415262,0.839226,0.478624,0.771186
0.478624,0.771186,0.474341,0.737977
0.474341,0.737977,0.379248,0.68086
0.379248,0.68086,0.287055,0.849461
0.818515,0.860448,0.821219,1
0.821219,1,1,1
1,1,1,0.900126
1,0.900126,0.818515,0.860448
0.0608608,0.153997,0.243691,0.144745
0.243691,0.144745,0.325659,1.41443e-09
0.325659,1.41443e-09,0,0
0,0,0,0.143389
0,0.143389,0.0608608,0.153997
0.795917,0.322339,0.833664,0.280097
0.833664,0.280097,0.781638,0.151234
0.781638,0.151234,0.711264,0.14186
0.711264,0.14186,0.586265,0.280551
0.586265,0.280551,0.582058,0.307035
0.582058,0.307035,0.611537,0.427198
0.611537,0.427198,0.795917,0.322339
0.993208,0.14911,0.850866,0.0979612
0.850866,0.0979612,0.781638,0.151234
0.781638,0.151234,0.833664,0.280097
0.833664,0.280097,0.905347,0.304914
0.905347,0.304914,0.993208,0.14911
0.263936,0.272095,0.256137,0.325812
0.256137,0.325812,0.279136,0.349079
0.279136,0.349079,0.575831,0.464668
0.575831,0.464668,0.606093,0.462774
0.606093,0.462774,0.611537,0.427198
0.611537,0.427198,0.582058,0.307035
0.582058,0.307035,0.263936,0.272095
0.415262,0.839226,0.317922,0.87161
0.317922,0.87161,0.313336,1
0.313336,1,0.442771,1
0.442771,1,0.415262,0.839226
0.113121,0.462015,0.01773,0.4618
0.01773,0.4618,8.50871e-10,0.465
8.50871e-10,0.465,0,0.827448
0,0.827448,0.127781,0.792689
0.127781,0.792689,0.138773,0.78612
0.138773,0.78612,0.220903,0.649917
0.220903,0.649917,0.113121,0.462015
0.650485,0.633131,0.772973,0.796842
0.772973,0.796842,0.996772,0.592628
0.996772,0.592628,0.650485,0.633131
0.705884,1,0.821219,1
0.821219,1,0.818515,0.860449
0.818515,0.860449,0.772539,0.799265
0.772539,0.799265,0.729153,0.824805
0.729153,0.824805,0.705884,1
0.996772,0.592628,1,0.590067
1,0.590067,1,0.561121
1,0.561121,0.866421,0.514596
0.866421,0.514596,0.616248,0.480833
