edge1_x, edge1_y, edge2_x, edge2_y
1,0.0190399,1,0
1,0,0.664245,0
0.664245,0,0.641038,0.114458
0.641038,0.114458,0.695656,0.155391
0.695656,0.155391,1,0.0190399
0.929164,0.66725,1,0.630447
1,0.630447,1,0.537297
1,0.537297,0.705926,0.561067
0.705926,0.561067,0.691044,0.591661
0.691044,0.591661,0.929164,0.66725
0.70332,0.165076,0.695656,0.155391
0.695656,0.155391,0.641038,0.114458
0.641038,0.114458,0.485534,0.206839
0.485534,0.206839,0.49516,0.301219
0.49516,0.301219,0.639316,0.372881
0.639316,0.372881,0.743944,0.282571
0.743944,0.282571,0.70332,0.165076
0.70332,0.165076,0.743944,0.282572
0.743944,0.282572,0.785374,0.292186
0.785374,0.292186,1,0.22779
1,0.22779,1,0.185284
1,0.185284,0.70332,0.165076
0.785374,0.292186,0.743944,0.282572
0.743944,0.282572,0.639316,0.372881
0.639316,0.372881,0.707125,0.544721
0.707125,0.544721,0.813436,0.428633
0.813436,0.428633,0.785374,0.292186
0.641038,0.114458,0.664245,-6.7919e-10
0.664245,-6.7919e-10,0.378639,0
0.378639,0,0.375152,0.122081
0.375152,0.122081,0.485534,0.206839
0.485534,0.206839,0.641038,0.114458
0.646724,0.675929,0.666305,0.648267
0.666305,0.648267,0.668864,0.621666
0.668864,0.621666,0.449615,0.522303
0.449615,0.522303,0.369135,0.564232
0.369135,0.564232,0.316944,0.624818
0.316944,0.624818,0.326796,0.680898
0.326796,0.680898,0.356039,0.716034
0.356039,0.716034,0.403695,0.735957
0.403695,0.735957,0.646724,0.675929
0.813436,0.428633,1,0.38555
1,0.38555,1,0.22779
1,0.22779,0.785374,0.292186
0.785374,0.292186,0.813436,0.428633
0.369135,0.564232,0.449615,0.522303
0.449615,0.522303,0.468055,0.337429
0.468055,0.337429,0.298568,0.37168
0.298568,0.37168,0.296104,0.412989
0.296104,0.412989,0.369135,0.564232
0.83907,0.847592,0.85522,0.817062
0.85522,0.817062,0.846415,0.798276
0.846415,0.798276,0.666305,0.648267
0.666305,0.648267,0.646724,0.675929
0.646724,0.675929,0.609684,0.857834
0.609684,0.857834,0.621356,0.873395
0.621356,0.873395,0.83907,0.847592
0.0876201,1.81158e-09,0,0
0,0,0,0.293641
0,0.293641,0.1041,0.302533
0.1041,0.302533,0.154725,0.26903
0.154725,0.26903,0.195271,0.190069
0.195271,0.190069,0.0876201,1.81158e-09
0.0192354,0.628605,2.01689e-10,0.628069
2.01689e-10,0.628069,0,1
0,1,0.124873,1
0.124873,1,0.132479,0.819316
0.132479,0.819316,0.0192354,0.628605
0.145495,0.55109,0.316944,0.624818
0.316944,0.624818,0.369135,0.564232
0.369135,0.564232,0.296104,0.412989
0.296104,0.412989,0.145495,0.55109
0.468055,0.337429,0.49516,0.301219
0.49516,0.301219,0.485534,0.206839
0.485534,0.206839,0.375152,0.122081
0.375152,0.122081,0.195271,0.190069
0.195271,0.190069,0.154725,0.26903
0.154725,0.26903,0.298568,0.37168
0.298568,0.37168,0.468055,0.337429
0.1041,0.302533,-9.19491e-10,0.293641
-9.19491e-10,0.293641,0,0.628069
0,0.628069,0.0192353,0.628605
0.0192353,0.628605,0.132137,0.548655
0.132137,0.548655,0.1041,0.302533
0.560803,0.870394,0.473036,0.874015
0.473036,0.874015,0.360661,1
0.360661,1,0.520028,1
0.520028,1,0.560803,0.870394
0.473036,0.874015,0.560803,0.870394
0.560803,0.870394,0.609684,0.857834
0.609684,0.857834,0.646724,0.675929
0.646724,0.675929,0.403696,0.735957
0.403696,0.735957,0.473036,0.874015
0.520028,1,0.678631,1
0.678631,1,0.621356,0.873395
0.621356,0.873395,0.609684,0.857834
0.609684,0.857834,0.560803,0.870394
0.560803,0.870394,0.520028,1
0.326796,0.680898,0.316944,0.624818
0.316944,0.624818,0.145495,0.55109
0.145495,0.55109,0.132137,0.548655
0.132137,0.548655,0.0192354,0.628605
0.0192354,0.628605,0.132479,0.819316
0.132479,0.819316,0.326796,0.680898
0.802745,1,1,1
1,1,1,0.844111
1,0.844111,0.85522,0.817062
0.85522,0.817062,0.83907,0.847592
0.83907,0.847592,0.802745,1
0.195271,0.190069,0.375152,0.122081
0.375152,0.122081,0.378639,-1.3124e-10
0.378639,-1.3124e-10,0.08762,0
0.08762,0,0.195271,0.190069
0.813436,0.428633,0.707125,0.544721
0.707125,0.544721,0.705926,0.561067
0.705926,0.561067,1,0.537297
1,0.537297,1,0.38555
1,0.38555,0.813436,0.428633
0.695656,0.155391,0.70332,0.165076
0.70332,0.165076,1,0.185284
1,0.185284,1,0.0190399
1,0.0190399,0.695656,0.155391
0.449615,0.522303,0.668864,0.621666
0.668864,0.621666,0.691044,0.591661
0.691044,0.591661,0.705926,0.561067
0.705926,0.561067,0.707125,0.544721
0.707125,0.544721,0.639316,0.372881
0.639316,0.372881,0.49516,0.301219
0.49516,0.301219,0.468055,0.337429
0.468055,0.337429,0.449615,0.522303
0.278753,1,0.360661,1
0.360661,1,0.473036,0.874015
0.473036,0.874015,0.403696,0.735957
0.403696,0.735957,0.356039,0.716034
0.356039,0.716034,0.278753,1
0.296104,0.412989,0.298568,0.37168
0.298568,0.37168,0.154725,0.26903
0.154725,0.26903,0.1041,0.302533
0.1041,0.302533,0.132137,0.548655
0.132137,0.548655,0.145495,0.55109
0.145495,0.55109,0.296104,0.412989
0.621356,0.873395,0.678631,1
0.678631,1,0.802745,1
0.802745,1,0.83907,0.847592
0.83907,0.847592,0.621356,0.873395
0.846415,0.798276,0.85522,0.817062
0.85522,0.817062,1,0.844111
1,0.844111,1,0.630447
1,0.630447,0.929164,0.66725
0.929164,0.66725,0.846415,0.798276
0.691044,0.591661,0.668864,0.621666
0.668864,0.621666,0.666305,0.648267
0.666305,0.648267,0.846415,0.798276
0.846415,0.798276,0.929164,0.66725
0.929164,0.66725,0.691044,0.591661
0.356039,0.716034,0.326796,0.680898
0.326796,0.680898,0.132479,0.819316
0.132479,0.819316,0.124873,1
0.124873,1,0.278753,1
0.278753,1,0.356039,0.716034
