vertex_x,vertex_y
0.334363,0.493018
0.438345,0.475211
0.453093,0.323089
0.266804,0.286585
0.191377,0.338142
0.553712,0.697557
0.468473,0.613979
0.420216,0.663705
0.404539,0.770116
0.474875,0.813249
0.727882,0.651474
0.709569,0.691779
0.702827,0.830136
0.80321,0.883741
1,0.842313
1,0.781931
0.654959,0.419845
0.623677,0.410583
0.57686,0.523283
0.730675,0.621525
0.770174,0.580555
0.766404,0.473106
0.560739,0.11663
0.574904,-1.30944e-09
0.259086,0
0.265922,0.0531925
0.27984,0.0655034
0.758434,0.380405
0.731628,0.252802
0.608178,0.227686
0.623677,0.410583
0.654959,0.419845
0.229436,0.114699
0.129267,0.154203
0.0514379,0.352303
0.191377,0.338142
0.266804,0.286585
0.267577,0.283105
0.776836,0.436341
0.766404,0.473105
0.770174,0.580555
1,0.54068
1,0.350495
0.695269,0.835597
0.546967,0.914988
0.516588,1
0.712618,1
0.474875,0.813249
0.546967,0.914988
0.695269,0.835597
0.702827,0.830136
0.709569,0.691779
0.553712,0.697557
0.262976,0.597749
0.16777,0.649957
0.296189,0.779958
0.350008,0.785119
0.404539,0.770115
0.420216,0.663705
0.553712,0.697557
0.709569,0.691779
0.727882,0.651474
0.730675,0.621525
0.57686,0.523283
0.491611,0.527274
0.468473,0.613979
0.654959,0.419845
0.766404,0.473106
0.776836,0.436341
0.758434,0.380405
0.752478,2.06369e-09
0.574904,0
0.560739,0.116631
0.560613,0.15231
0.576919,0.206757
0.608178,0.227686
0.731628,0.252802
0.924701,0.202295
0.0693166,2.46045e-09
0,0
0,0.376254
0.0514379,0.352303
0.129267,0.154203
0.420216,0.663705
0.468473,0.613979
0.491611,0.527274
0.438345,0.475211
0.334363,0.493018
0.262976,0.597749
1,0.781931
1,0.54068
0.770174,0.580555
0.730675,0.621525
0.727882,0.651474
0.267577,0.283105
0.347928,0.16335
0.27984,0.0655034
0.265922,0.0531925
0.229436,0.114699
0.712618,1
0.81178,1
0.80321,0.883741
0.702827,0.830136
0.695269,0.835597
0.81178,1
1,1
1,0.842313
0.80321,0.883741
0.27984,0.0655034
0.347928,0.16335
0.560613,0.15231
0.560739,0.11663
0.267577,0.283105
0.266804,0.286585
0.453093,0.323089
0.576919,0.206757
0.560613,0.15231
0.347928,0.16335
1,0.350495
1,0.209479
0.924701,0.202295
0.731628,0.252802
0.758434,0.380405
0.776836,0.436341
0.229436,0.114699
0.265922,0.0531925
0.259086,2.5863e-09
0.0693166,0
0.129267,0.154203
0.356588,1
0.516588,1
0.546967,0.914989
0.474875,0.813249
0.404539,0.770116
0.350008,0.785119
0.350008,0.785119
0.296189,0.779958
0.175523,1
0.356588,1
0.924701,0.202295
1,0.209479
1,0
0.752478,0
0.191377,0.338142
0.0514379,0.352303
-4.42912e-09,0.376254
0,0.634194
0.16777,0.649957
0.262976,0.597749
0.334363,0.493018
0.623677,0.410583
0.608178,0.227686
0.576919,0.206757
0.453093,0.323089
0.438345,0.475211
0.491611,0.527274
0.57686,0.523283
0.296189,0.779958
0.16777,0.649957
3.97008e-09,0.634194
0,1
0.175523,1
