edge1_x, edge1_y, edge2_x, edge2_y
0.557102,0.308856,0.562545,0.240548
0.562545,0.240548,0.334152,0.247561
0.334152,0.247561,0.272585,0.402565
0.272585,0.402565,0.431932,0.491103
0.431932,0.491103,0.440738,0.492341
0.440738,0.492341,0.557102,0.308856
0.68301,0.655774,0.676846,0.636334
0.676846,0.636334,0.440338,0.798363
0.440338,0.798363,0.49757,0.871916
0.49757,0.871916,0.68301,0.655774
0.777748,0.824557,0.7979,0.847009
0.7979,0.847009,1,0.851527
1,0.851527,1,0.560924
1,0.560924,0.980018,0.564049
0.980018,0.564049,0.777748,0.824557
0.657209,0.385047,0.745679,0.502195
0.745679,0.502195,0.78034,0.390249
0.78034,0.390249,0.768904,0.348308
0.768904,0.348308,0.657209,0.385047
0.565958,0.118348,0.618192,2.40203e-09
0.618192,2.40203e-09,0.359468,0
0.359468,0,0.391553,0.0668253
0.391553,0.0668253,0.565958,0.118348
0.768904,0.348308,0.76168,0.251777
0.76168,0.251777,0.575182,0.225371
0.575182,0.225371,0.562545,0.240548
0.562545,0.240548,0.557102,0.308856
0.557102,0.308856,0.6032,0.365422
0.6032,0.365422,0.657209,0.385047
0.657209,0.385047,0.768904,0.348308
0.181127,0.186901,0.111085,0.138928
0.111085,0.138928,4.44044e-10,0.192727
4.44044e-10,0.192727,0,0.508325
0,0.508325,0.101228,0.457252
0.101228,0.457252,0.181127,0.186901
0.78034,0.390249,0.745679,0.502195
0.745679,0.502195,0.737276,0.56289
0.737276,0.56289,0.980018,0.564049
0.980018,0.564049,1,0.560924
1,0.560924,1,0.404955
1,0.404955,0.78034,0.390249
0.782668,0.916997,0.7979,0.847009
0.7979,0.847009,0.777748,0.824557
0.777748,0.824557,0.742877,0.797079
0.742877,0.797079,0.523273,0.91684
0.523273,0.91684,0.515957,1
0.515957,1,0.543182,1
0.543182,1,0.782668,0.916997
0.49757,0.871916,0.523273,0.91684
0.523273,0.91684,0.742877,0.797079
0.742877,0.797079,0.68301,0.655773
0.68301,0.655773,0.49757,0.871916
-4.00996e-09,0.571,0,0.640079
0,0.640079,0.328682,0.772408
0.328682,0.772408,0.330535,0.771803
0.330535,0.771803,0.345743,0.602558
0.345743,0.602558,-4.00996e-09,0.571
0.676846,0.636334,0.675753,0.60859
0.675753,0.60859,0.666927,0.603773
0.666927,0.603773,0.504454,0.554617
0.504454,0.554617,0.391446,0.77172
0.391446,0.77172,0.440338,0.798363
0.440338,0.798363,0.676846,0.636334
0.657208,0.385047,0.603199,0.365422
0.603199,0.365422,0.666927,0.603773
0.666927,0.603773,0.675753,0.60859
0.675753,0.60859,0.737276,0.56289
0.737276,0.56289,0.745679,0.502195
0.745679,0.502195,0.657208,0.385047
0.762902,3.27814e-09,0.618192,0
0.618192,0,0.565958,0.118348
0.565958,0.118348,0.575182,0.225371
0.575182,0.225371,0.76168,0.251777
0.76168,0.251777,0.792667,0.230763
0.792667,0.230763,0.762902,3.27814e-09
0.164575,-2.03259e-09,0,0
0,0,0,0.192727
0,0.192727,0.111085,0.138928
0.111085,0.138928,0.164575,-2.03259e-09
