vertex_x,vertex_y
0.434483,0.366545
0.550449,0.373614
0.681658,0.238224
0.607707,0.158767
0.461071,0.167856
0.763299,0.36401
0.693623,0.238081
0.681658,0.238224
0.550449,0.373614
0.603454,0.480298
0.735417,0.494995
0.764067,0.450882
0.442504,0.151633
0.461071,0.167856
0.607707,0.158767
0.581564,3.05606e-09
0.545983,0
0.763299,0.36401
0.764067,0.450882
1,0.461075
1,0.377678
0.603454,0.480298
0.550449,0.373614
0.434483,0.366545
0.379078,0.384921
0.358757,0.404686
0.319565,0.4745
0.317998,0.528307
0.404716,0.621361
0.509811,0.666928
0.543543,0.660523
0.545983,-1.49072e-09
0.455133,0
0.431014,0.14554
0.442504,0.151633
0.750938,0.77997
0.681965,0.678161
0.576318,0.67647
0.625821,0.853615
1,0.377678
1,0.0612116
0.693623,0.238081
0.763299,0.36401
0.358757,0.404686
0.379078,0.384921
0.286405,0.127972
0.27365,0.118
0.0927737,0.201149
0.793204,0.600733
0.781387,0.59826
0.681965,0.678161
0.750938,0.77997
0.800665,0.809304
0.273651,0.118
0.28939,-7.26814e-10
0,0
0,0.215881
0.0927737,0.201149
0.310237,0.533718
0.103209,0.577431
0.0970184,0.88602
0.310237,0.533718
0.317998,0.528307
0.319565,0.4745
-3.88871e-09,0.358936
0,0.442816
0.0957473,0.571063
0.103209,0.577431
0.0927737,0.201149
-1.34219e-09,0.215881
0,0.358936
0.319565,0.4745
0.358757,0.404686
-1.83876e-10,0.626241
0,1
0.0589529,1
0.071491,0.976939
0.0970184,0.88602
0.103209,0.577431
0.0957473,0.571063
0.576318,0.67647
0.543543,0.660523
0.509811,0.666928
0.467979,0.790828
0.470008,1
0.601242,1
0.625821,0.853615
0.295266,0.794307
0.0714909,0.976939
0.0589529,1
0.470008,1
0.467979,0.790828
0.800665,0.809304
0.821212,0.824318
0.855048,0.804639
0.891332,0.712237
0.881094,0.610814
0.793204,0.600733
0.0957473,0.571063
3.15615e-09,0.442816
0,0.626241
0.855048,0.804639
0.821212,0.824317
0.780837,1
1,1
1,0.850864
0.455133,3.37369e-09
0.28939,0
0.273651,0.118
0.286405,0.127972
0.431014,0.14554
1,0.736864
1,0.522642
0.881094,0.610814
0.891332,0.712237
0.607707,0.158767
0.681658,0.238224
0.693623,0.238081
1,0.0612116
1,0
0.581564,0
0.603454,0.480298
0.543543,0.660522
0.576318,0.67647
0.681965,0.678161
0.781387,0.59826
0.735417,0.494995
0.467979,0.790828
0.509811,0.666928
0.404716,0.621361
0.295266,0.794307
0.461071,0.167856
0.442504,0.151633
0.431014,0.14554
0.286405,0.127972
0.379078,0.384921
0.434483,0.366545
0.625821,0.853615
0.601242,1
0.780837,1
0.821212,0.824318
0.800666,0.809304
0.750938,0.77997
0.764067,0.450882
0.735417,0.494995
0.781387,0.59826
0.793204,0.600733
0.881094,0.610814
1,0.522642
1,0.461075
0.891332,0.712237
0.855048,0.804639
1,0.850864
1,0.736864
0.404716,0.621361
0.317998,0.528307
0.310237,0.533718
0.0970184,0.88602
0.071491,0.976939
0.295266,0.794307
