edge1_x, edge1_y, edge2_x, edge2_y
0.15632,0.386338,-5.96987e-10,0.453406
-5.96987e-10,0.453406,0,0.641379
0,0.641379,0.228045,0.605236
0.228045,0.605236,0.246242,0.545427
0.246242,0.545427,0.244791,0.472634
0.244791,0.472634,0.15632,0.386338
0.246242,0.545428,0.228045,0.605236
0.228045,0.605236,0.309224,0.684418
0.309224,0.684418,0.433548,0.627738
0.433548,0.627738,0.509826,0.505963
0.509826,0.505963,0.491582,0.495201
0.491582,0.495201,0.246242,0.545428
0.76165,0.723004,0.647532,0.759111
0.647532,0.759111,0.582031,0.821496
0.582031,0.821496,0.538259,1
0.538259,1,0.741649,1
0.741649,1,0.76165,0.723004
0.52582,0.503591,0.525755,0.503633
0.525755,0.503633,0.647532,0.759111
0.647532,0.759111,0.76165,0.723004
0.76165,0.723004,0.805401,0.704821
0.805401,0.704821,0.813115,0.636314
0.813115,0.636314,0.801229,0.617362
0.801229,0.617362,0.52582,0.503591
0.193773,0.275409,0.31919,0.229859
0.31919,0.229859,0.216243,0.017455
0.216243,0.017455,0.0620485,0.130075
0.0620485,0.130075,0.193773,0.275409
0.658148,0.437361,0.796521,0.597588
0.796521,0.597588,0.795566,0.460355
0.795566,0.460355,0.791396,0.457203
0.791396,0.457203,0.658148,0.437361
0.386872,3.01575e-10,0.220924,0
0.220924,0,0.216243,0.017455
0.216243,0.017455,0.31919,0.229859
0.31919,0.229859,0.359348,0.240989
0.359348,0.240989,0.377543,0.231719
0.377543,0.231719,0.425021,0.0982967
0.425021,0.0982967,0.386872,3.01575e-10
0.795566,0.460355,0.796521,0.597588
0.796521,0.597588,0.801229,0.617362
0.801229,0.617362,0.813115,0.636314
0.813115,0.636314,1,0.502211
1,0.502211,1,0.338972
1,0.338972,0.952613,0.335158
0.952613,0.335158,0.795566,0.460355
0.741649,1,0.776824,1
0.776824,1,0.855338,0.749685
0.855338,0.749685,0.805401,0.704821
0.805401,0.704821,0.76165,0.723004
0.76165,0.723004,0.741649,1
0.556391,0.801022,0.582031,0.821496
0.582031,0.821496,0.647532,0.759111
0.647532,0.759111,0.525755,0.503633
