vertex_x,vertex_y
0.0683635,0.460905
-6.60877e-10,0.437729
0,0.754764
0.12555,0.576608
0.225158,0.320509
0.194755,0.368286
0.261679,0.585121
0.331583,0.612916
0.364776,0.558955
0.537191,1
0.777098,1
0.765631,0.907686
0.685147,0.830314
0.600177,0.840222
0.512329,0.748489
0.518225,0.768714
0.600177,0.840222
0.685147,0.830314
0.763762,0.670884
0.64095,0.581368
-1.1885e-09,0.233183
0,0.302673
0.250999,0.22985
0.268409,0.150329
0.25313,0.122377
0.737877,0.478494
0.639095,0.576554
0.640951,0.581368
0.763762,0.670884
0.822003,0.658736
0.847668,0.604297
0.799638,0.486803
0.599607,1.56336e-09
0.226898,0
0.236424,0.0878714
0.25313,0.122378
0.268409,0.150329
0.441795,0.156813
0.799638,0.486803
0.847668,0.604297
1,0.493219
1,0.436878
0.832022,0.438215
0.922117,0.742501
0.822003,0.658736
0.763762,0.670884
0.685147,0.830314
0.765631,0.907686
0.861552,0.860033
0.602231,0.540461
0.52326,0.441907
0.471825,0.453706
0.364776,0.558955
0.331583,0.612916
0.332837,0.618156
0.429514,0.67925
0.211824,1
0.537191,1
0.600177,0.840222
0.518226,0.768714
0.737877,0.478494
0.799638,0.486803
0.832022,0.438215
0.741778,0.271253
0.735598,0.264586
0.686803,0.295901
0.741778,0.271253
0.832022,0.438215
1,0.436878
1,0.41789
1,0.180263
1,0
0.717937,0
0.730548,0.0349951
0.783603,0.169963
-1.3869e-09,0.302673
0,0.437729
0.0683635,0.460905
0.194755,0.368286
0.225158,0.320509
0.251924,0.238775
0.250999,0.22985
0.364776,0.558955
0.471825,0.453706
0.251924,0.238775
0.225158,0.320509
0.847668,0.604297
0.822003,0.658736
0.922117,0.742501
1,0.749728
1,0.493219
0.513889,0.230589
0.595388,0.322386
0.686803,0.295901
0.735598,0.264586
0.783603,0.169963
0.730548,0.034996
1,0.970675
1,0.749728
0.922117,0.742501
0.861552,0.860033
0.861552,0.860033
0.765631,0.907686
0.777098,1
1,1
1,0.970675
0.730548,0.034996
0.717937,2.95357e-09
0.599607,0
0.441795,0.156813
0.513889,0.230589
0.194755,0.368286
0.0683635,0.460905
0.12555,0.576608
0.261679,0.585121
0.686803,0.295901
0.595388,0.322386
0.52326,0.441906
0.602231,0.540461
0.639095,0.576554
0.737877,0.478494
0.236424,0.0878714
0.226898,-8.77045e-11
0,0
0,0.133611
0.518225,0.768714
0.512329,0.748489
0.429514,0.67925
0.332837,0.618156
0.161564,1
0.211824,1
0.429514,0.67925
0.512329,0.748489
0.640951,0.581368
0.639095,0.576554
0.602231,0.540461
1,0.41789
1,0.180263
0.783603,0.169963
0.735598,0.264586
0.741778,0.271253
0.25313,0.122377
0.236424,0.0878714
5.123e-10,0.133611
0,0.233183
0.471825,0.453706
0.52326,0.441907
0.595388,0.322386
0.513889,0.230589
0.441795,0.156813
0.268409,0.150329
0.250999,0.22985
0.251924,0.238775
1.34009e-09,0.754764
0,1
0.161564,1
0.332837,0.618155
0.331583,0.612916
0.261679,0.585121
0.12555,0.576608
