edge1_x, edge1_y, edge2_x, edge2_y
0.10293,0.419802,-2.43837e-09,0.414861
-2.43837e-09,0.414861,0,0.697928
0,0.697928,0.196412,0.574925
0.196412,0.574925,0.193358,0.552952
0.193358,0.552952,0.10293,0.419802
0.275078,0.452005,0.193358,0.552952
0.193358,0.552952,0.196412,0.574925
0.196412,0.574925,0.325994,0.655494
0.325994,0.655494,0.328898,0.654658
0.328898,0.654658,0.402501,0.577937
0.402501,0.577937,0.428999,0.535144
0.428999,0.535144,0.275078,0.452005
0.665109,0.795159,0.595504,0.809752
0.595504,0.809752,0.536906,1
0.536906,1,0.783095,1
0.783095,1,0.788282,0.932123
0.788282,0.932123,0.665109,0.795159
0.562477,0.698613,0.566364,0.780175
0.566364,0.780175,0.595504,0.809752
0.595504,0.809752,0.665108,0.795159
0.665108,0.795159,0.809845,0.667079
0.809845,0.667079,0.621006,0.535533
0.621006,0.535533,0.607832,0.53134
0.607832,0.53134,0.562477,0.698613
0.229704,0.283035,0.283735,0.258173
0.283735,0.258173,0.303746,0.20586
0.303746,0.20586,0.220641,0.0494745
0.220641,0.0494745,0.00863405,0.139416
0.00863405,0.139416,0.07158,0.241701
0.07158,0.241701,0.229704,0.283035
0.643527,0.522715,0.621006,0.535533
0.621006,0.535533,0.809845,0.667079
0.809845,0.667079,0.816214,0.666212
0.816214,0.666212,0.832604,0.635417
0.832604,0.635417,0.79785,0.468879
0.79785,0.468879,0.643527,0.522715
0.50353,-2.16106e-09,0.222005,0
0.222005,0,0.220641,0.0494745
0.220641,0.0494745,0.303746,0.20586
0.303746,0.20586,0.409546,0.185557
0.409546,0.185557,0.43658,0.147315
0.43658,0.147315,0.50353,-2.16106e-09
0.799912,0.450858,0.79785,0.468879
0.79785,0.468879,0.832604,0.635417
0.832604,0.635417,1,0.494626
1,0.494626,1,0.389462
1,0.389462,0.799912,0.450858
0.89783,0.744279,0.816214,0.666212
0.816214,0.666212,0.809845,0.667079
0.809845,0.667079,0.665109,0.795159
0.665109,0.795159,0.788283,0.932123
0.788283,0.932123,0.831755,0.894031
0.831755,0.894031,0.89783,0.744279
0.562477,0.698613,0.607832,0.53134
0.607832,0.53134,0.544768,0.466199
0.544768,0.466199,0.486007,0.477427
0.486007,0.477427,0.428999,0.535144
0.428999,0.535144,0.402501,0.577937
0.402501,0.577937,0.562477,0.698613
0.255992,1,0.536906,1
0.536906,1,0.595504,0.809752
0.595504,0.809752,0.566364,0.780175
0.566364,0.780175,0.476678,0.76297
0.476678,0.76297,0.255992,1
0.643527,0.522715,0.79785,0.468879
0.79785,0.468879,0.799912,0.450858
0.799912,0.450858,0.769667,0.414494
0.769667,0.414494,0.643527,0.522715
1,0.389462,1,0.385628
1,0.385628,0.704881,0.250962
0.704881,0.250962,0.701806,0.25447
0.701806,0.25447,0.769667,0.414494
0.769667,0.414494,0.799911,0.450858
0.799911,0.450858,1,0.389462
1,0.148167,1,0
1,0,0.70125,0
0.70125,0,0.714639,0.0871053
0.714639,0.0871053,0.73485,0.158364
0.73485,0.158364,1,0.148167
7.31021e-10,0.346838,0,0.414861
0,0.414861,0.10293,0.419802
0.10293,0.419802,0.229704,0.283035
0.229704,0.283035,0.07158,0.241701
0.07158,0.241701,7.31021e-10,0.346838
0.428999,0.535144,0.486007,0.477427
0.486007,0.477427,0.301321,0.296916
0.301321,0.296916,0.275078,0.452005
0.275078,0.452005,0.428999,0.535144
0.832604,0.635417,0.816214,0.666212
0.816214,0.666212,0.897831,0.744279
0.897831,0.744279,1,0.77939
1,0.77939,1,0.494626
1,0.494626,0.832604,0.635417
0.714639,0.087105,0.70125,-2.81067e-09
0.70125,-2.81067e-09,0.50353,0
0.50353,0,0.43658,0.147315
0.43658,0.147315,0.714639,0.087105
1,0.946874,1,0.77939
1,0.77939,0.89783,0.744279
0.89783,0.744279,0.831755,0.894031
0.831755,0.894031,1,0.946874
0.831755,0.894031,0.788282,0.932123
0.788282,0.932123,0.783095,1
0.783095,1,1,1
1,1,1,0.946874
1,0.946874,0.831755,0.894031
0.43658,0.147315,0.409546,0.185557
0.409546,0.185557,0.622155,0.297094
0.622155,0.297094,0.701806,0.25447
0.701806,0.25447,0.704881,0.250962
0.704881,0.250962,0.73485,0.158364
0.73485,0.158364,0.714639,0.087105
0.714639,0.087105,0.43658,0.147315
0.275078,0.452005,0.301321,0.296916
0.301321,0.296916,0.283735,0.258173
0.283735,0.258173,0.229704,0.283035
