vertex_x,vertex_y
1,0.13327
1,0
0.695212,0
0.6954,0.00251048
0.82632,0.0973647
0.875333,0.725447
1,0.782386
1,0.495424
0.909094,0.534735
0.785718,0.247691
0.784926,0.246934
0.643892,0.168306
0.538172,0.240811
0.536949,0.254194
0.673075,0.458065
0.756088,0.36625
0.82632,0.0973647
0.6954,0.00251048
0.643892,0.168306
0.784926,0.246934
1,0.310473
1,0.246804
0.785718,0.247691
0.756088,0.36625
0.773452,0.36853
0.6954,0.00251046
0.695212,-1.73423e-09
0.364503,0
0.352158,0.0842922
0.538172,0.240811
0.643892,0.168306
0.337066,0.554527
0.275653,0.599165
0.368402,0.734243
0.409277,0.737853
0.598899,0.595036
0.492126,0.529906
0.773453,0.36853
1,0.452694
1,0.310473
0.337066,0.554527
0.492126,0.529906
0.414872,0.375502
0.371141,0.379877
0.645195,0.793126
0.593419,0.89199
0.603049,0.924796
0.646966,1
0.780208,1
0.819335,0.885867
0.816571,0.879095
0.169426,0.294125
0.171359,0.293
0.191871,0.204147
5.00546e-09,0.00985141
0,0.294302
0.154235,0.806867
0.0382076,0.644437
-6.53747e-10,0.630821
0,1
0.159664,1
0.371141,0.379877
0.225885,0.33974
0.263631,0.595256
0.275653,0.599165
0.337066,0.554527
0.371141,0.379877
0.414872,0.375502
0.536949,0.254194
0.538172,0.240811
0.352158,0.0842922
0.191871,0.204147
0.171359,0.293
0.225885,0.33974
0.169426,0.294125
4.4911e-11,0.294302
0,0.627089
0.414343,1
0.646966,1
0.603048,0.924796
0.593419,0.89199
0.645195,0.793126
0.664142,0.662578
0.636119,0.592882
0.598899,0.595036
0.409277,0.737853
0.476852,0.847443
0.603049,0.924796
0.593419,0.89199
0.476852,0.847443
0.35641,1
0.414343,1
0.340255,0.763822
0.368402,0.734243
0.275653,0.599165
0.263631,0.595256
0.0382077,0.644437
0.154235,0.806867
0.819335,0.885867
0.780208,1
1,1
1,0.847306
0.191871,0.204147
0.352158,0.0842922
0.364503,1.8408e-09
0,0
0,0.00985143
0.773453,0.36853
0.756088,0.36625
0.673075,0.458065
0.674729,0.541331
0.909094,0.534735
1,0.495424
1,0.452694
0.784926,0.246934
0.785718,0.247691
1,0.246804
1,0.13327
0.82632,0.0973647
0.492126,0.529906
0.598899,0.595036
0.636119,0.592882
0.674729,0.54133
0.673075,0.458065
0.536949,0.254194
0.414872,0.375502
0.476852,0.847443
0.409277,0.737853
0.368402,0.734243
0.340255,0.763822
0.295484,1
0.35641,1
0.225885,0.33974
0.171359,0.293
0.169426,0.294125
-1.90054e-09,0.627089
0,0.630821
0.0382077,0.644437
0.263631,0.595256
0.816571,0.879095
0.815099,0.744558
0.664142,0.662579
0.645195,0.793126
0.816571,0.879095
0.819335,0.885867
1,0.847306
1,0.782386
0.875333,0.725447
0.815099,0.744558
0.909094,0.534735
0.674729,0.541331
0.636119,0.592882
0.664142,0.662579
0.815099,0.744558
0.875333,0.725447
0.154235,0.806867
0.159664,1
0.295484,1
0.340255,0.763822
