vertex_x,vertex_y
0.555706,0.300666
0.559871,0.245345
0.335005,0.249734
0.267452,0.400113
0.426362,0.490549
0.441773,0.492531
0.681763,0.647523
0.680171,0.642226
0.433879,0.791471
0.496971,0.869522
0.764636,0.813771
0.797055,0.849148
1,0.851653
1,0.571316
0.74524,0.510737
0.779304,0.392865
0.768851,0.356719
0.658785,0.385939
0.565507,0.120229
0.615389,7.6767e-11
0.357111,0
0.393004,0.072469
0.768851,0.356719
0.760467,0.252145
0.576186,0.22528
0.559871,0.245345
0.555706,0.300666
0.606019,0.367305
0.658785,0.385939
0.183153,0.184526
0.111492,0.139356
-1.71692e-09,0.197831
0,0.50031
0.115693,0.444306
0.779304,0.392865
0.74524,0.510737
0.737539,0.563894
1,0.562774
1,0.402844
0.783401,0.916243
0.797055,0.849148
0.764636,0.813771
0.743632,0.797441
0.524359,0.916819
0.515651,1
0.563028,1
0.496971,0.869522
0.524359,0.916819
0.743632,0.797441
0.681763,0.647523
1.18485e-08,0.601676
0,0.635069
0.327841,0.773776
0.33986,0.76988
0.34479,0.597177
0.680171,0.642226
0.679042,0.607347
0.660764,0.597322
0.50294,0.552315
0.3946,0.769645
0.433879,0.791471
0.658785,0.385939
0.606019,0.367305
0.660764,0.597322
0.679042,0.607347
0.737539,0.563894
0.74524,0.510737
0.761309,2.37423e-09
0.615389,0
0.565507,0.120229
0.576186,0.22528
0.760467,0.252145
0.797785,0.227856
0.160992,-2.05516e-10
0,0
0,0.197831
0.111492,0.139356
0.33986,0.76988
0.3946,0.769645
0.50294,0.552315
0.441773,0.492531
0.426362,0.490549
0.34479,0.597177
1,0.571316
1,0.562774
0.737539,0.563894
0.679042,0.607347
0.680171,0.642226
0.681763,0.647523
0.743632,0.797441
0.764636,0.813771
0.115693,0.444306
0.267452,0.400113
0.335005,0.249734
0.318013,0.209417
0.275068,0.180013
0.183153,0.184526
0.563028,1
0.784814,1
0.783401,0.916243
0.784814,1
1,1
1,0.851653
0.797055,0.849148
0.783401,0.916243
0.275068,0.180013
0.318013,0.209417
0.393004,0.0724689
0.357111,1.54178e-09
0.224287,0
0.318013,0.209417
0.335005,0.249734
0.559871,0.245345
0.576186,0.22528
0.565507,0.120229
0.393004,0.072469
1,0.402844
1,0.216805
0.797785,0.227856
0.760467,0.252145
0.768851,0.356719
0.779304,0.392865
0.224287,-1.4774e-09
0.160992,0
0.111492,0.139356
0.183153,0.184526
0.275068,0.180013
0.351028,1
0.515651,1
0.524359,0.916819
0.496971,0.869522
0.433879,0.791471
0.3946,0.769645
0.33986,0.76988
0.327841,0.773776
0.30321,0.85918
0.0725027,1
0.351028,1
0.30321,0.85918
0.797785,0.227856
1,0.216805
1,0
0.761309,0
0.34479,0.597177
0.426362,0.490549
0.267452,0.400113
0.115693,0.444306
-8.08507e-10,0.50031
0,0.601676
0.606019,0.367305
0.555707,0.300666
0.441773,0.492531
0.50294,0.552315
0.660764,0.597322
0.30321,0.85918
0.327841,0.773776
-1.29538e-08,0.635069
0,1
0.0725026,1
