vertex_x,vertex_y
1,0.146838
1,0
0.875585,0
0.882217,0.0762999
1,0.885765
1,0.556633
0.890302,0.681133
0.833285,0.797465
0.862386,0.836548
0.616028,0.392619
0.613161,0.485554
0.625215,0.50667
0.804058,0.495979
0.811781,0.330152
0.882217,0.0762999
0.875585,2.92609e-10
0.635724,0
0.700309,0.177262
0.75763,0.180716
0.868852,0.287218
1,0.428843
1,0.16464
0.58154,0.274082
0.595255,0.279886
0.700309,0.177262
0.635724,3.28839e-10
0.342426,0
0.339699,0.0111113
0.208198,0.376111
0.164897,0.417921
0.230508,0.653503
0.3481,0.652816
0.380378,0.530952
0.804058,0.495979
1,0.545092
1,0.428843
0.868852,0.287218
0.846188,0.281871
0.811781,0.330152
0.380378,0.530952
0.3481,0.652816
0.430266,0.703842
0.457336,0.71334
0.614327,0.583603
0.625215,0.50667
0.613161,0.485554
0.481251,0.471366
0.71662,0.804145
0.585975,0.878837
0.587399,1
0.745611,1
0.161021,0.41847
0.164897,0.417921
0.208198,0.376111
0.24609,0.31311
0.236582,0.158543
3.27128e-09,0.126922
0,0.262726
0.149887,0.772742
0.139601,0.761477
-3.67593e-09,0.77557
0,1
0.215891,1
0.380378,0.530952
0.481251,0.471366
0.328679,0.33407
0.24609,0.313111
0.208198,0.376111
0.58154,0.274082
0.339699,0.0111113
0.236582,0.158543
0.24609,0.313111
0.328679,0.33407
9.27756e-10,0.262726
0,0.472619
0.161021,0.41847
0.413187,1
0.587399,1
0.585975,0.878837
0.47889,0.806247
0.453306,0.833608
0.629562,0.604125
0.614327,0.583603
0.457336,0.71334
0.47889,0.806247
0.585975,0.878837
0.71662,0.804145
0.720481,0.79987
0.284048,0.837937
0.319529,0.880412
0.453306,0.833608
0.47889,0.806247
0.457336,0.71334
0.430266,0.703842
0.430266,0.703842
0.3481,0.652816
0.230508,0.653503
0.139601,0.761477
0.149887,0.772742
0.284048,0.837937
0.823605,1
1,1
1,0.885765
0.862386,0.836548
0.236582,0.158543
0.339699,0.0111113
0.342426,-1.86465e-09
0,0
0,0.126922
0.811781,0.330152
0.846188,0.281871
0.75763,0.180716
0.700309,0.177262
0.595255,0.279886
0.616028,0.392619
1,0.16464
1,0.146838
0.882217,0.0762999
0.75763,0.180716
0.846188,0.281871
0.868852,0.287218
0.481251,0.471366
0.613161,0.485554
0.616028,0.392619
0.595255,0.279886
0.58154,0.274082
0.328679,0.33407
0.453306,0.833608
0.319529,0.880412
0.310894,1
0.413187,1
0.164897,0.417921
0.161021,0.41847
1.47841e-09,0.472619
0,0.77557
0.139601,0.761477
0.230508,0.653503
0.629562,0.604125
0.720481,0.79987
0.833285,0.797465
0.890302,0.681133
0.745611,1
0.823605,1
0.862386,0.836548
0.833285,0.797465
0.720481,0.79987
0.71662,0.804145
0.890302,0.681133
1,0.556633
1,0.545092
0.804058,0.495979
0.625215,0.50667
0.614327,0.583603
0.629562,0.604125
0.215891,1
0.310894,1
0.319529,0.880412
0.284048,0.837937
0.149887,0.772742
